id,pregunta,itc,opcion_1,opcion_2,opcion_3,respuesta_correcta
1,"¿Cuál es la normativa principal en baja tensión en España?(ITC-BT 01)",,"REBT","RITE","CTE","REBT"
2,"¿Qué documento entrega el instalador tras finalizar?(ITC-BT 04)",,"Certificado de eficiencia","Boletín de instalación","Informe térmico","Boletín de instalación"
3,"¿Qué color tiene el conductor de protección?(ITC-BT 19)",,"Verde-amarillo","Azul","Negro","Verde-amarillo"
4,"¿Qué protege un diferencial?(ITC-BT 24)",,"Sobrecargas","Fugas a tierra","Cortocircuitos","Fugas a tierra"
5,"¿Qué sección mínima se recomienda para iluminación?(ITC-BT 25)",,"1,5 mm²","2,5 mm²","4 mm²","1,5 mm²"
6,"¿Qué tubo usar en garajes vistos?(ITC-BT 20)",,"Corrugado","Rígido PVC","Canaleta madera","Rígido PVC"
7,"¿Qué hace un interruptor horario?(ITC-BT 27)",,"Evita cortos","Automatiza encendidos","Mide energía","Automatiza encendidos"
8,"¿Qué señal indica peligro eléctrico?(está regulado por el Real Decreto 485/1997, sobre señalización de seguridad y salud en el trabajo.)",,"Triángulo amarillo con rayo negro","Círculo rojo con rayo blanco","Cuadro azul con rayo verde","Triángulo amarillo con rayo negro"
9,"¿Qué es el procedimiento LOTO?(corresponde al RD 614/2001 y a normativas de seguridad laboral (PRL))",,"Encender maquinaria","Bloquear energía","Medir corriente","Bloquear energía"
10,"¿Qué sensibilidad tiene un diferencial doméstico?(ITC-BT 24)",,"10 mA","30 mA","100 mA","30 mA"
11,"¿Qué valor de tensión se considera baja tensión según el REBT?(ITC-BT 01)",,"< 1000 V en corriente alterna","< 1500 V en corriente continua","Ambas anteriores","Ambas anteriores"
12,"¿Qué tipo de esquema de instalación se utiliza comúnmente en viviendas?(ITC-BT 08)",,"TT","IT","TN-S","TT"
13,"¿Cuál es la finalidad del interruptor diferencial?(ITC-BT 24)",,"Proteger contra sobrecargas","Detectar fugas de corriente","Proteger motores","Detectar fugas de corriente"
14,"¿Qué norma regula la seguridad en trabajos eléctricos?(ITC-BT-18 (Puestas a tierra) ITC-BT-38 a ITC-BT-51 (locales especiales))",,"RD 614/2001","REBT","UNE 20460","RD 614/2001"
15,"¿Qué color identifica el conductor neutro en instalaciones fijas?(ITC-BT 19)",,"Azul","Negro","Verde-amarillo","Azul"
16,"Indíquese el valor de la caída de tensión máxima admisible en la derivación individual en el caso de suministro para dos usuarios alimentados desde el mismo lugar(ITC-BT 13 2 + ITC-BT 15 2)",,"0,5%","1%","1,5%","1,5%"
17,"En el circuito de puesta a tierra se pueden intercalar:(ITC-BT 18)",,"Fusibles.","Interruptores.","Puede intercalarse un dispositivo que permita medir la toma de tierra siempre que esté en lugar accesible.","Puede intercalarse un dispositivo que permita medir la toma de tierra siempre que esté en lugar accesible."
18,"¿Qué características tendrán los cables de una instalación a tensión especial?(ITC-BT 37)",,"Los cables a emplear en instalaciones especiales serán de tensión asignada mínima 450/750 V con cubierta de policloropreno o similar","Para una instalación a tensión especial los cables serán de tensión nominal no inferior a 1.000 V","Las dos respuestas anteriores son correctas","Las dos respuestas anteriores son correctas"
19,"¿Cuál es la tasa máxima de armónicos de orden 3 que puede producir un generador de baja tensión?(ITC-BT 40)",,"4/n","25/n","5","5"
20,"¿Qué protección se dispondrá para los circuitos de salida de una instalación generadora asistida?(ITC-BT 40)",,"Se dotarán de protección contra sobrecargas únicamente.","Se dotarán de las protecciones establecidas en las correspondientes ITC que les sean aplicables.","Se dotarán de protección contra cortocircuitos únicamente.","Se dotarán de las protecciones establecidas en las correspondientes ITC que les sean aplicables."
21,"¿Cómo deben ser los cables a instalar en un mueble que tiene una base de enchufe y no está destinado a instalarse en un cuarto de baño?(ITC-BT 49)",,"Cables flexibles aislados con goma (equivalente, como mínimo, al tipo H05RR-F)","Cables flexibles aislados con policloruro de vinilo (equivalentes como mínimo al tipo H05VV-F)","Las dos respuestas anteriores son correctas si además se cumple que la sección mínima de los conductores es 2,5 mm² y son de cobre","Las dos respuestas anteriores son correctas si además se cumple que la sección mínima de los conductores es 2,5 mm² y son de cobre"
22,"¿Cuál es la caída de tensión máxima admitida en un circuito cualquiera de la instalación eléctrica de una vivienda?(ITC-BT 19 ITC-BT 25)",,"3%","1,5%","5%","5%"
23,"En el stand de una feria se han instalado 10 tomas de 16 A 2P+T para ordenadores de uso público que están protegidos contra contactos indirectos con dispositivos de corte por corriente diferencial residual. ¿Cuál será el valor máximo de la suma de la resistencia de tierra y de los conductores de protección de las masas si se considera una tensión de contacto límite convencional de 24 V?(ITC-BT 34 y 24)",,"1.666,66 Ω","800 Ω","48 Ω","800 Ω"
24,"¿Cuál es la tensión asignada mínima de los conductores instalados bajo tubo en un local húmedo?",,"0,6/1 kV","300/500 V","450/750 V","450/750 V"
25,"¿Cuál es la resistencia que deben presentar las paredes y suelos aislantes?(ITC-BT 01, SUELO O PARED NO CONDUCTOR)",,"100 kΩ si la tensión no es superior a 500 V","50 kΩ si la tensión es superior a 500 V","50 kΩ si la tensión no es superior a 500 V","50 kΩ si la tensión no es superior a 500 V"
26,"Para la instalación eléctrica de un local considerado como mojado(ITC-BT 30)",,"Se necesita elaboración de proyecto para potencias superiores a 20 kW","Los receptores para alumbrado serán de clase 0","Las canalizaciones podrán tener un IP 54","Las canalizaciones podrán tener un IP 54"
27,"¿Qué es un defecto franco?(DEFINICION. 70)",,"Un defecto de aislamiento cuya impedancia puede considerarse nula","Un defecto de aislamiento con independencia de la impedancia","Un defecto de aislamiento de alta impedancia de un receptor con doble aislamiento","Un defecto de aislamiento cuya impedancia puede considerarse nula"
28,"Indíquese la sección mínima del conductor de tierra de cobre de un edificio destinado principalmente a viviendas si está protegido contra la corrosión y protegido mecánicamente, siendo la sección del conductor de fase de 50 mm²:(ITC-BT 18)",,"35 mm²","16 mm²","25 mm²","25 mm²"
29,"¿Cómo será el radio de curvatura de un cable radiante eléctrico?(ITC-BT 46)",,"No deberá ser inferior a 6 veces el diámetro exterior de los mismos, cuando estos tengan armadura, y a 10 veces cuando no tengan armadura","Deberá ser inferior a 6 veces el diámetro exterior de los mismos, cuando estos no tengan armadura, y a 10 veces cuando tengan armadura","No deberá ser inferior a 6 veces el diámetro exterior de los mismos, cuando estos no tengan armadura, y a 10 veces cuando tengan armadura","No deberá ser inferior a 6 veces el diámetro exterior cuando no tengan armadura, y 10 veces cuando tengan armadura"
30,"Cuando los contadores van colocados en forma concentrada pueden ubicarse:(ITC-BT 16)",,"En locales","En armarios","Ambas respuestas son correctas","Ambas respuestas son correctas"
31,"¿Dónde se colocarán las bases de enchufe del circuito de tomas auxiliares de cocina?(ITC-BT 25)",,"Encima del plano de trabajo","Fuera del volumen delimitado por los planos verticales situados a 0,5 metros del fregadero y de la encimera de cocción o cocina","Las dos respuestas anteriores son correctas","Las dos respuestas anteriores son correctas"
32,"¿Qué categoría de protección contra sobretensiones tendrán las herramientas portátiles destinados a conectarse a una instalación eléctrica fija?(ITC-BT 23)",,"Categoría I","Categoría II","Categoría III","Categoría II"
33,"Los dispositivos de protección contra sobrecargas y cortocircuitos de los circuitos interiores serán:(ITC-BT 17)",,"De corte unipolar","De corte omnipolar","De corte bipolar","De corte bipolar"
34,"¿Cuál es la tensión mínima asignada de los cables para acometidas de instalaciones provisionales y temporales de obras?(ITC-BT 33)",,"300/500 V","450/750 V","0,6/1 kV","0,6/1 kV"
35,"En un edificio de viviendas de nueva construcción, ¿dónde se establecerán las derivaciones de la línea principal de tierra?(ITC-BT 26)",,"En la misma canalización que la línea general de alimentación","En la misma canalización que las derivaciones individuales","Las dos respuestas anteriores son correctas","Las dos respuestas anteriores son correctas"
36,"¿Cada cuántas plantas se colocarán elementos cortafuegos en las derivaciones individuales dispuestas en vertical?(ITC-BT 15)",,"Cada 2 plantas","Cada 3 plantas","En todas las plantas","Cada 3 plantas"
37,"En un local de espectáculos, ¿dónde se situarán los cuadros secundarios de distribución?(ITC-BT 28)",,"Deberán situarse en el punto más próximo posible a la entrada de la acometida o derivación individual","En locales independientes o en el interior de un recinto construido con material no combustible","Los cuadros secundarios se instalarán en lugares a los que no tenga acceso el público, por ejemplo el mostrador de información","En locales independientes o en el interior de un recinto construido con material no combustible"
